date,symbol,close,spread_roll,spread_cs,spread_ar
2024-06-01 00:00:00+00:00,BTCUSDT,67766.85,,0.003189405144507526,
2024-06-02 00:00:00+00:00,BTCUSDT,67765.63,,,
2024-06-03 00:00:00+00:00,BTCUSDT,68809.9,,0.0072170657137286195,
2024-06-04 00:00:00+00:00,BTCUSDT,70537.84,,,
2024-06-05 00:00:00+00:00,BTCUSDT,71108.0,,0.015461427185818229,
2024-06-06 00:00:00+00:00,BTCUSDT,70799.06,,0.01127964217418147,
2024-06-07 00:00:00+00:00,BTCUSDT,69355.6,,0.000841416346932205,
2024-06-08 00:00:00+00:00,BTCUSDT,69310.46,,0.0038237567358938482,
2024-06-09 00:00:00+00:00,BTCUSDT,69648.14,,0.00660388201293163,
2024-06-10 00:00:00+00:00,BTCUSDT,69540.0,,,
2024-06-11 00:00:00+00:00,BTCUSDT,67314.24,,0.026545501577979115,
2024-06-12 00:00:00+00:00,BTCUSDT,68263.99,,0.0017746823093855166,
2024-06-13 00:00:00+00:00,BTCUSDT,66773.01,,,
2024-06-14 00:00:00+00:00,BTCUSDT,66043.99,,0.0030206967501177936,
2024-06-15 00:00:00+00:00,BTCUSDT,66228.25,,0.00020771153635581666,
2024-06-16 00:00:00+00:00,BTCUSDT,66676.87,,0.007397316069889074,
2024-06-17 00:00:00+00:00,BTCUSDT,66504.33,,0.0033456681080170038,
2024-06-18 00:00:00+00:00,BTCUSDT,65175.32,,0.007931155190832612,
2024-06-19 00:00:00+00:00,BTCUSDT,64974.37,,0.010169267688537095,
2024-06-20 00:00:00+00:00,BTCUSDT,64869.99,,,
2024-06-21 00:00:00+00:00,BTCUSDT,64143.56,,0.003925763090899933,0.00459473998885162
2024-06-22 00:00:00+00:00,BTCUSDT,64262.01,,0.0038615738380226613,0.004721032963118274
2024-06-23 00:00:00+00:00,BTCUSDT,63210.01,,,0.004265655852989521
2024-06-24 00:00:00+00:00,BTCUSDT,60293.3,,0.017602891603778457,0.004950810531073047
2024-06-25 00:00:00+00:00,BTCUSDT,61806.01,0.016615000141023926,0.0222073113901055,0.00544278703902681
2024-06-26 00:00:00+00:00,BTCUSDT,60864.99,0.02053039282473487,0.024905395868015934,0.00637233191223972
2024-06-27 00:00:00+00:00,BTCUSDT,61706.47,0.02155184974368938,0.018664072743775247,0.006915260465918633
2024-06-28 00:00:00+00:00,BTCUSDT,60427.84,0.022730841741500404,0.006286141195387927,0.007549756997120312
2024-06-29 00:00:00+00:00,BTCUSDT,60986.68,0.02335455072607102,,0.007401081791247841
2024-06-30 00:00:00+00:00,BTCUSDT,62772.01,0.021223414544381324,,0.007401081791247841
2024-07-01 00:00:00+00:00,BTCUSDT,62899.99,0.02024504636298049,,0.007401081791247841
2024-07-02 00:00:00+00:00,BTCUSDT,62135.47,0.020052871801449403,,0.006366301824877609
2024-07-03 00:00:00+00:00,BTCUSDT,60208.58,0.015910303876199496,,0.006366301824877609
2024-07-04 00:00:00+00:00,BTCUSDT,57050.01,,,0.006366301824877609
2024-07-05 00:00:00+00:00,BTCUSDT,56628.79,,,0.006157820450490557
2024-07-06 00:00:00+00:00,BTCUSDT,58230.13,,0.038677879465546634,0.007932635695752898
2024-07-07 00:00:00+00:00,BTCUSDT,55857.81,0.014580627904846565,0.026460456413275824,0.008648742366673451
2024-07-08 00:00:00+00:00,BTCUSDT,56714.62,0.019677645794772693,0.01733571388250214,0.007789086220281561
2024-07-09 00:00:00+00:00,BTCUSDT,58050.0,0.01529361325454599,,0.007714132360844233
2024-07-10 00:00:00+00:00,BTCUSDT,57725.85,0.015075661277363178,0.03642462458485444,0.008183480014416733
2024-07-11 00:00:00+00:00,BTCUSDT,57339.89,0.015143685750239291,0.0068843681692713375,0.008894836527288699
2024-07-12 00:00:00+00:00,BTCUSDT,57889.1,0.015076496093696365,,0.008766616143532103
2024-07-13 00:00:00+00:00,BTCUSDT,59204.02,0.011826399738049083,,0.008640323169265449
2024-07-14 00:00:00+00:00,BTCUSDT,60797.91,,,0.008640323169265449
2024-07-15 00:00:00+00:00,BTCUSDT,64724.14,,0.01756576874826848,0.009414182566827902
2024-07-16 00:00:00+00:00,BTCUSDT,65043.99,,0.0007503518267004256,0.009322281130364448
2024-07-17 00:00:00+00:00,BTCUSDT,64087.99,,0.002660098908457639,0.008692907033614096
2024-07-18 00:00:00+00:00,BTCUSDT,63987.92,,0.013604207692732172,0.008893874666134872
2024-07-19 00:00:00+00:00,BTCUSDT,66660.0,,0.0003652058555552629,0.00808654027592178
2024-07-20 00:00:00+00:00,BTCUSDT,67139.96,,0.012388994219698638,0.008281304755887928
2024-07-21 00:00:00+00:00,BTCUSDT,68165.34,,0.01863194955427268,0.009478111343460159
2024-07-22 00:00:00+00:00,BTCUSDT,67532.01,,,0.009680134209840223
2024-07-23 00:00:00+00:00,BTCUSDT,65936.01,,0.014956560428325187,0.010148844365144846
2024-07-24 00:00:00+00:00,BTCUSDT,65376.0,,,0.010148844365144846
2024-07-25 00:00:00+00:00,BTCUSDT,65799.95,,,0.010148844365144846
2024-07-26 00:00:00+00:00,BTCUSDT,67907.99,,0.0008779104365961981,0.010148844365144846
2024-07-27 00:00:00+00:00,BTCUSDT,67896.5,,0.009725214135027376,0.008374029119882503
2024-07-28 00:00:00+00:00,BTCUSDT,68249.88,,0.007495701900387852,0.007411449413750124
2024-07-29 00:00:00+00:00,BTCUSDT,66784.69,,,0.007411449413750124
2024-07-30 00:00:00+00:00,BTCUSDT,66188.0,,0.01469300916798223,0.007622467821326375
2024-07-31 00:00:00+00:00,BTCUSDT,64628.0,,,0.006649281299697349
2024-08-01 00:00:00+00:00,BTCUSDT,65354.02,,0.040439308793679546,0.008390883111299643
2024-08-02 00:00:00+00:00,BTCUSDT,61498.33,,,0.008390883111299643
2024-08-03 00:00:00+00:00,BTCUSDT,60697.99,,,0.008390883111299643
2024-08-04 00:00:00+00:00,BTCUSDT,58161.0,,,0.008390883111299643
2024-08-05 00:00:00+00:00,BTCUSDT,54018.81,,0.021020830347684316,0.006441319268144404
2024-08-06 00:00:00+00:00,BTCUSDT,56022.01,,0.02800209122113418,0.006041244196654096
2024-08-07 00:00:00+00:00,BTCUSDT,55134.16,,0.019609043283441298,0.008757823354068722
2024-08-08 00:00:00+00:00,BTCUSDT,61685.99,0.011840520893247273,0.011525761434023186,0.01084923311294084
2024-08-09 00:00:00+00:00,BTCUSDT,60837.99,0.020436655340369755,0.012599891677882209,0.01084923311294084
2024-08-10 00:00:00+00:00,BTCUSDT,60923.51,0.023085178025431613,0.008047991109596076,0.011044353202013264
2024-08-11 00:00:00+00:00,BTCUSDT,58712.59,0.024872222565612757,0.020096947008201256,0.0110864627465309
2024-08-12 00:00:00+00:00,BTCUSDT,59346.64,0.026745138445797196,0.01976843951606827,0.010884439880150835
